f3cbf856-31e9-429a-819d-2bc0bf2b9c44 0 15-12 1
c6d2aae7-621f-4348-b22c-c7df8563dbc5 0 agricultural_systems-S0308521X19301465-31 2
c6d2aae7-621f-4348-b22c-c7df8563dbc5 0 agricultural_water_management-S0378377420314001-57 2
c6d2aae7-621f-4348-b22c-c7df8563dbc5 0 agronomy_for_sustainable_development-101007s1359301100251-27 1
c6d2aae7-621f-4348-b22c-c7df8563dbc5 0 irrigation_science-101007BF00208391-7 1
c6d2aae7-621f-4348-b22c-c7df8563dbc5 0 irrigation_science-101007BF00208398-9 2
c6d2aae7-621f-4348-b22c-c7df8563dbc5 0 agronomy_journal-102134agronj20029360-25 1
c6d2aae7-621f-4348-b22c-c7df8563dbc5 0 agricultural_water_management-S0378377420321880-66 1
c6d2aae7-621f-4348-b22c-c7df8563dbc5 0 agronomy_journal-102134agronj199700021962008900020012x-7 2
c6d2aae7-621f-4348-b22c-c7df8563dbc5 0 plant_and_soil-101007s1110401214831-13 1
c6d2aae7-621f-4348-b22c-c7df8563dbc5 0 plant_and_soil-101007BF01347711-9 1
c6d2aae7-621f-4348-b22c-c7df8563dbc5 0 irrigation_science-101007s0027101705495-9 2
c6d2aae7-621f-4348-b22c-c7df8563dbc5 0 field_crops_research-S0378429016308371-149 2
c6d2aae7-621f-4348-b22c-c7df8563dbc5 0 20181916-34 1
c6d2aae7-621f-4348-b22c-c7df8563dbc5 0 agricultural_water_management-S0378377406000825-69 1
c6d2aae7-621f-4348-b22c-c7df8563dbc5 0 irrigation_science-101007s002710100220x-14 1
c6d2aae7-621f-4348-b22c-c7df8563dbc5 0 agricultural_water_management-S0378377418314070-30 1
c6d2aae7-621f-4348-b22c-c7df8563dbc5 0 agronomy-8070101-13 2
c6d2aae7-621f-4348-b22c-c7df8563dbc5 0 plant_and_soil-101007BF02143182-26 2
c6d2aae7-621f-4348-b22c-c7df8563dbc5 0 agronomy_for_sustainable_development-101007s1359301502834-231 1
c6d2aae7-621f-4348-b22c-c7df8563dbc5 0 agronomy_for_sustainable_development-101007s1359301502861-83 2
7f5eda26-950d-4038-a3b9-d72e213cfed6 0 150703-28 2
7f5eda26-950d-4038-a3b9-d72e213cfed6 0 20171821-21 2
7f5eda26-950d-4038-a3b9-d72e213cfed6 0 201639-6 0
7f5eda26-950d-4038-a3b9-d72e213cfed6 0 6830-21467-794 2
7f5eda26-950d-4038-a3b9-d72e213cfed6 0 6830-21467-820 2
7f5eda26-950d-4038-a3b9-d72e213cfed6 0 150703-87 1
7f5eda26-950d-4038-a3b9-d72e213cfed6 0 agronomy_for_sustainable_development-101007s1359301604084-60 2
7f5eda26-950d-4038-a3b9-d72e213cfed6 0 150703-159 2
7f5eda26-950d-4038-a3b9-d72e213cfed6 0 6830-21465-42 1
7f5eda26-950d-4038-a3b9-d72e213cfed6 0 6830-21463-8 2
7f5eda26-950d-4038-a3b9-d72e213cfed6 0 201640-5 2
7f5eda26-950d-4038-a3b9-d72e213cfed6 0 journal_of_soil_science_and_plant_nutrition-101007s4272901900130-52 0
7f5eda26-950d-4038-a3b9-d72e213cfed6 0 6830-21465-26 2
7f5eda26-950d-4038-a3b9-d72e213cfed6 0 3685-14 0
7f5eda26-950d-4038-a3b9-d72e213cfed6 0 20171821-4 2
7f5eda26-950d-4038-a3b9-d72e213cfed6 0 150703-7 1
7f5eda26-950d-4038-a3b9-d72e213cfed6 0 nutrient_cycling_in_agroecosystems-101007BF00748775-84 0
7f5eda26-950d-4038-a3b9-d72e213cfed6 0 plant_and_soil-101007s1110401316045-127 0
7f5eda26-950d-4038-a3b9-d72e213cfed6 0 plant_and_soil-101007s1110401004053-92 2
7f5eda26-950d-4038-a3b9-d72e213cfed6 0 150703-127 0
6a0ece77-3bcb-4b4e-9f6c-facd8e5f08b9 0 201626-24 0
6a0ece77-3bcb-4b4e-9f6c-facd8e5f08b9 0 20171812-50 2
6a0ece77-3bcb-4b4e-9f6c-facd8e5f08b9 0 6300-16253-378 2
6a0ece77-3bcb-4b4e-9f6c-facd8e5f08b9 0 20181910-55 1
6a0ece77-3bcb-4b4e-9f6c-facd8e5f08b9 0 6300-16253-381 0
6a0ece77-3bcb-4b4e-9f6c-facd8e5f08b9 0 20192012-83 0
6a0ece77-3bcb-4b4e-9f6c-facd8e5f08b9 0 20171817-3 0
6a0ece77-3bcb-4b4e-9f6c-facd8e5f08b9 0 20171813-2 0
6a0ece77-3bcb-4b4e-9f6c-facd8e5f08b9 0 201627-26 0
6a0ece77-3bcb-4b4e-9f6c-facd8e5f08b9 0 973-48 0
6a0ece77-3bcb-4b4e-9f6c-facd8e5f08b9 0 20171817-16 0
6a0ece77-3bcb-4b4e-9f6c-facd8e5f08b9 0 20181911-21 0
6a0ece77-3bcb-4b4e-9f6c-facd8e5f08b9 0 20181911-23 0
6a0ece77-3bcb-4b4e-9f6c-facd8e5f08b9 0 20181908-1 0
6a0ece77-3bcb-4b4e-9f6c-facd8e5f08b9 0 20192012-51 0
6a0ece77-3bcb-4b4e-9f6c-facd8e5f08b9 0 6300-16253-13 0
6a0ece77-3bcb-4b4e-9f6c-facd8e5f08b9 0 201627-23 0
6a0ece77-3bcb-4b4e-9f6c-facd8e5f08b9 0 20181911-49 0
6a0ece77-3bcb-4b4e-9f6c-facd8e5f08b9 0 agronomy_journal-102134agronj198500021962007700050032x-73 0
6a0ece77-3bcb-4b4e-9f6c-facd8e5f08b9 0 20181911-37 0
d056cb1d-29d8-4a10-8f1d-b82d87d2489d 0 230-20604-6 2
d056cb1d-29d8-4a10-8f1d-b82d87d2489d 0 230-20606-333 2
d056cb1d-29d8-4a10-8f1d-b82d87d2489d 0 230-20611-35 2
d056cb1d-29d8-4a10-8f1d-b82d87d2489d 0 230-20606-324 2
d056cb1d-29d8-4a10-8f1d-b82d87d2489d 0 20192026-37 2
d056cb1d-29d8-4a10-8f1d-b82d87d2489d 0 plant_and_soil-101007s1110401734944-88 2
